Estudios Científicos
2012
"Updated analyses of temperature and precipitation extreme indices since the beginning 1 of the twentieth century: The HadEX2 dataset Global and planetary change Revisiting wintertime cold air intrusions at the east of the Andes: propagating features from subtropical Argentina to Peruvian Amazon and relationship with large-scale circulation patterns Early Warning Systems: The ""Last Mile"" of Adaptation"
2011
Climate Change: Evidence and Future Scenarios for the Andean Region A data portal for regional climatic trend analysis in a Peruvian High Andes region
2010
"Homogeneous temperature and precipitation series for a Peruvian High Andes regions from 1965 to 2009 Dependence of wet-season precipitation in the Central Andes on Pacific-SST anomaly patterns, tropospheric temperature, pressure and humidity fields"
2009
Evaluación del Modelo Eta/SENAMHI en la previsión de la precipitación durante los periodos lluviosos 2002 y 2003.
2007
Visualizing Future Climate in Latin America: Results from the application of the Earth Simulator
