REGIÓN,TIPO DE PRECIPITACIÓN,MÁX. CANTIDAD DE PP (mm/24h),PROBABILIDAD,FENÓMENOS ASOCIADOS
SIERRA,LLUVIA / NIEVE / GRANIZO,10 – 20 mm/día,ALTA,DESCARGAS ELÉCTRICAS/ RÁFAGAS DE VIENTO
SELVA,LLUVIA/CHUBASCO,20 – 60 mm/día,ALTA,DESCARGAS ELÉCTRICAS/ RÁFAGAS DE VIENTO
COSTA,LLUVIA,0.1 – 5 mm/día,MODERADA,NIEBLA/ NEBLINA/ RÁFAGAS DE VIENTO
